State Code,Reference Number,Multiple Name,URL
AZ,64000058,Wickenburg MRA (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000058.pdf
AZ,64000059,Willcox MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000059.pdf
AZ,64000060,Willcox MRA (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000060.pdf
AZ,64000061,Yuma MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000061.pdf
CA,64000062,"Berkeley, University of California MRA",http://pdfhost.focus.nps.gov/docs/nrhp/text/64000062.pdf
CA,64000063,Bungalow Courts of Pasadena TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000063.pdf
CA,64000064,Earth Figures of California--Arizona Colorado River Basin TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000064.pdf
CA,64000065,La Grange MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000065.pdf
CA,64000066,Los Angeles Branch Library System TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000066.pdf
CA,64000067,Newlands Reclamation TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000067.pdf
CA,64000068,Torrance High School Campus TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000068.pdf
CA,64000069,Twentieth Century Folk Art Environment in California TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000069.pdf
CA,64000070,US Post Office in California 1900-1941 TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000070.pdf
CO,64000071,Aspen MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000071.pdf
CO,64000072,Denver Park and Parkway System TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000072.pdf
CO,64000073,Dinosaur National Monument MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000073.pdf
CO,64000074,Lafayette Coal Mining Era Buildings TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000074.pdf
CO,64000075,Louisville MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000075.pdf
CO,64000076,Manitou Springs MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000076.pdf
CO,64000077,Rocky Mountain National Park MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000077.pdf
CO,64000078,Rocky Mountain National Park MRA (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000078.pdf
CO,64000079,"US Post Offices in Colorado, 1900--1941, TR",http://pdfhost.focus.nps.gov/docs/nrhp/text/64000079.pdf
CO,64000080,Vehicular Bridges in Colorado TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000080.pdf
CO,64000081,West Colfax TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000081.pdf
CT,64000082,18th and 19th Century Brick Architecture of Windsor TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000082.pdf
CT,64000083,18th and 19th Century Brick Architecture of Windsor TR (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000083.pdf
CT,64000084,Asylum Hill MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000084.pdf
CT,64000085,Colonial Houses of Branford TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000085.pdf
